Time,Speed,Location,County,State,Lat,Lon,Comments
1215,UNK,5 E Vanoss,Pontotoc,OK,34.77,-96.78,Multiple power poles snapped. Social media image. (OUN)
1650,60,4 NNE Fillmore,Millard,UT,39.02,-112.3,Mesonet station UTCIR I-15 at MP 169. (SLC)
1710,61,2 ENE Wheeler Peak Snot,White Pine,NV,39.02,-114.27,Station: Mather... ID:MTHN2... 9268 ft. (LKN)
1711,UNK,1 E Pitts,Estill,KY,37.71,-83.87,Delayed social media report of downed large tree branches at 3135 Tipton Ridge Road. Time estimated via radar. (JKL)
1736,71,33 ESE Gandy,Millard,UT,39.35,-113.38,Mesonet station TVWU1 Tule Valley. (SLC)
1739,UNK,1 NNE Mount Orab,Brown,OH,39.04,-83.92,Single tree down near Kroger. Photo verified. Time estimated from RADAR. (ILN)
1747,UNK,3 ESE Eastabuchie,Forrest,MS,31.42,-89.23,Two power poles were broken and trees were downed along Lynn Ray Rd. (JAN)
1750,58,6 NW Magna,Salt Lake,UT,40.77,-112.15,Mesonet station UT107 I-80 At Mp 107. (SLC)
1810,58,20 E Callao,Juab,UT,39.9,-113.34,Mesonet station DPG19 Fish Springs. (SLC)
1815,UNK,Hillsboro,Lawrence,AL,34.64,-87.19,Two to three trees were knocked... several tents were blown down... and an inflatable slide was blown away. Exact location unknown. Time estimated by radar. (HUN)
1815,66,26 ENE Callao,Tooele,UT,40.11,-113.31,Mesonet station DPG31 West Granite. (SLC)
1815,68,18 NNE Callao,Tooele,UT,40.12,-113.53,Mesonet station DPG18 Causeway. (SLC)
1820,61,21 SW Dugway,Tooele,UT,40.05,-113.05,Mesonet station DPG04 Target S. (SLC)
1825,UNK,1 NE Sand Lick,Scott,KY,38.26,-84.71,Delayed report. Tobacco barn destroyed... likely from a small downburst. Multiple storms went through the area that afternoon. TCVG used to estimate timing of downburst (LMK)
1830,61,25 W Dugway,Tooele,UT,40.23,-113.22,From mesonet site APG at Dugway. (SLC)
1835,UNK,Peebles,Adams,OH,38.95,-83.41,Trees down along Old State Route 32 in Peebles. (ILN)
1838,UNK,1 N Frankfort,Franklin,KY,38.2,-84.86,Scattered minor tree damage reported in downtown Frankfort and on the east side of town. Estimated 900 to 950 people without power. (LMK)
1840,UNK,2 N Decatur,Morgan,AL,34.6,-86.98,A tree was reported down in the roadway at 400 Jackson Street in Decatur. Time estimated by radar. (HUN)
1841,UNK,1 NW Roscoe,Coshocton,OH,40.29,-81.89,Multiple trees down and small hail all alongHill Street and County Road 55 in Coshocton County (PBZ)
1846,UNK,Manchester,Adams,OH,38.69,-83.6,Power poles and lines down - time estimated. (ILN)
1846,UNK,1 NW Platea,Erie,PA,41.96,-80.34,Tree down on road and other small branches down. (CLE)
1900,UNK,Coshocton,Coshocton,OH,40.29,-81.86,Large tree limbs/branches down (greater than 2 inches) (PBZ)
1900,65,4 E Lava Hot Springs,Bannock,ID,42.62,-111.93,ITD Fish Creek Summit. (PIH)
1903,UNK,Weirton,Hancock,WV,40.4,-80.56,Trees down in Weirton with pea size hail. Time estimated via radar. (PBZ)
1905,UNK,6 SSW Chattanooga,Hamilton,TN,34.99,-85.29,Power Poles down on Rossville Blvd. Location approximate from dispatch. (MRX)
1905,UNK,9 NNE Tollesboro,Lewis,KY,38.68,-83.49,Video from Concord area showing numerous branches down. Time estimated from RADAR. (ILN)
1906,UNK,Sandy Hook,Elliott,KY,38.09,-83.12,A tree was blown down on KY-557 near Sandy Hook. (JKL)
1908,UNK,4 NE Somerville,Morgan,AL,34.52,-86.76,A tree was knocked down into the roadway at the intersection of Charest Road and Section Mountain Road. Time estimated by radar. (HUN)
1908,UNK,3 ENE Lynchburg,Moore,TN,35.29,-86.31,A tree was reported down at 216 Ashley Road. Time estimated by radar. (HUN)
1909,UNK,1 W Bakersville,Coshocton,OH,40.36,-81.67,Trees down across County Road 2. Time estimated via radar. (PBZ)
1910,UNK,3 NNE South Pittsburg,Marion,TN,35.06,-85.69,Trees down in Jasper Highlands community. Time estimated from radar. (MRX)
1910,59,7 NNE Clive,Tooele,UT,40.76,-113.01,Measured at UDOT mesonet site Grassey. (SLC)
1910,UNK,5 W Wooster,Wayne,OH,40.79,-82.02,Public report of tree damage on multiple properties. Along with a downed limb... 3 whole trees came down with 1 landing on a house and one landing on the road. (CLE)
1915,75,13 E Wallsburg,Wasatch,UT,40.38,-111.18,Measured at mesonet site Currant Creek Peak. (SLC)
1917,UNK,6 WNW Estill Springs,Franklin,TN,35.31,-86.23,Trees were reported down on Highway 130. Time estimated by radar. (HUN)
1920,UNK,1 N Avella,Washington,PA,40.29,-80.47,A couple trees down on a private property. (PBZ)
1920,UNK,2 NNE Elma Center,Erie,NY,42.85,-78.62,Trees down in Elma. (BUF)
1924,UNK,7 NNW Owens Crossroads,Madison,AL,34.67,-86.5,Social media photos indicated damage near the intersection of Miller Lane and Paul Drive. At this location... several trees were uprooted... one snapped and several lar (HUN)
1925,UNK,1 SE Lexington,Fayette,KY,38.03,-84.49,Large tree limb down on vehicle in Woodland Park. (LMK)
1925,UNK,4 SE Grayson Lake State,Carter,KY,38.19,-82.96,Utility company reports tree down on lines along Hilton Branch Road. Time estimated from radar. (RLX)
1926,UNK,1 WSW Dutton,Jackson,AL,34.6,-85.94,A tree was reported down at the 3000 block of Alabama Highway 71. Time estimated by radar. (HUN)
1926,UNK,1 ENE Stockton,Chautauqua,NY,42.32,-79.34,Tree down on road... cable wire across road. (BUF)
1930,UNK,Whitwell,Marion,TN,35.2,-85.52,Trees down in the Whitwell area. Time estimated from radar. (MRX)
1930,63,10 SE Woodland,Wasatch,UT,40.47,-111.1,Measured at mesonet site Duchesne Ridge. (SLC)
1932,58,5 W Lexington,Fayette,KY,38.03,-84.6,ASOS station KLEX Lexington. (LMK)
1933,UNK,8 SE Cowan,Franklin,TN,35.08,-85.92,Trees were reported down in Sherwood. Time estimated by radar. (HUN)
