time, min_val, min_lat, min_lon, max_val, max_lat, max_lon
2024-08-17 21:01, -28.50, 43.9191, -122.1929, 28.50, 43.7112, -122.1584
2024-08-17 21:05, -24.00, 43.9842, -122.2169, 24.00, 44.0335, -122.2604
2024-08-17 21:10, -26.50, 43.6959, -122.1769, 26.50, 43.8846, -122.2233
2024-08-17 21:14, -28.50, 43.9839, -122.2404, 28.50, 43.8024, -122.1918
2024-08-17 21:18, -28.50, 43.8952, -122.2520, 28.50, 43.9404, -121.8817
2024-08-17 21:22, -28.50, 44.0532, -122.2238, 28.50, 43.9255, -122.2402
2024-08-17 21:26, -26.50, 44.0296, -122.2352, 26.50, 44.0143, -122.2516
2024-08-17 21:30, -26.50, 44.0874, -121.8980, 26.50, 44.0295, -122.2799
2024-08-17 21:35, -26.50, 43.9298, -121.9762, 26.50, 44.4419, -122.1057
2024-08-17 21:39, -31.00, 44.0918, -122.2406, 31.00, 44.0939, -122.2629
2024-08-17 21:44, -24.00, 44.3173, -121.6407, 24.00, 44.2500, -121.6540
2024-08-17 21:49, -24.00, 44.3966, -121.6896, 24.00, 44.3869, -121.7044
2024-08-17 21:53, -28.50, 44.5008, -121.9545, 28.50, 44.3103, -122.1013
2024-08-17 21:58, -31.00, 44.3092, -122.1210, 31.00, 44.2789, -122.0616
2024-08-17 22:03, -24.00, 44.3624, -121.7520, 24.00, 44.3459, -121.7837
2024-08-17 22:08, -24.00, 44.4525, -121.7649, 24.00, 44.4323, -121.7914
2024-08-17 22:13, -28.00, 45.1946, -122.8808, 28.00, 45.1935, -122.8677
2024-08-17 22:18, -28.50, 45.2034, -122.4290, 28.50, 45.2273, -122.3954
2024-08-17 22:23, -28.00, 45.2268, -122.8490, 24.00, 44.5652, -121.8292
2024-08-17 22:28, -28.50, 45.2535, -122.4447, 28.00, 45.2508, -122.4601
2024-08-17 22:33, -27.50, 45.3391, -122.8267, 24.00, 44.6764, -121.8390
2024-08-17 22:38, -28.50, 45.2406, -122.4854, 26.50, 45.2160, -122.5647
2024-08-17 22:43, -28.00, 45.2167, -122.4040, 28.50, 45.2150, -122.4021
2024-08-17 22:47, -30.50, 45.3259, -122.5560, 32.50, 45.4065, -122.6633
2024-08-17 22:52, -31.00, 45.3124, -122.6009, 30.50, 45.2943, -122.6132
2024-08-17 22:57, -32.00, 45.3864, -122.6555, 31.00, 45.2801, -122.6572
2024-08-17 23:02, -33.00, 45.4403, -122.7866, 33.00, 45.3717, -122.6775
2024-08-17 23:07, -33.00, 45.3656, -122.7063, 31.00, 45.2528, -122.7065
2024-08-17 23:13, -32.00, 45.3664, -122.7178, 33.00, 45.3547, -122.7631
2024-08-17 23:18, -31.50, 45.4777, -122.6554, 32.50, 45.4030, -122.6121
2024-08-17 23:23, -29.00, 45.4290, -122.7706, 28.50, 45.2977, -122.2492
2024-08-17 23:29, -30.50, 45.3257, -122.5253, 30.00, 45.2997, -122.5599
2024-08-17 23:34, -33.00, 45.4295, -122.7351, 30.50, 45.3180, -122.4840
2024-08-17 23:40, -30.50, 45.3553, -122.4273, 28.50, 45.4270, -122.1142
2024-08-17 23:45, -33.00, 45.6645, -122.6134, 32.50, 45.6701, -122.6519
2024-08-17 23:51, -30.50, 45.3788, -122.4262, 31.00, 45.4728, -122.2777
2024-08-17 23:56, -31.00, 45.4234, -122.3640, 30.50, 45.4292, -122.3967
2024-08-18 00:01, -31.00, 45.4971, -122.2889, 31.00, 45.5053, -122.2836
2024-08-18 00:07, -31.00, 45.5685, -122.3463, 31.00, 45.5727, -122.2880
2024-08-18 00:12, -31.00, 45.5816, -122.2874, 31.00, 45.5798, -122.2783
2024-08-18 00:17, -30.50, 45.6069, -122.3758, 30.50, 45.6058, -122.3697
2024-08-18 00:23, -30.00, 45.6075, -122.3788, 30.50, 45.6003, -122.3816
2024-08-18 00:28, -28.00, 45.6771, -122.4198, 24.50, 46.1857, -122.4790
2024-08-18 00:34, -26.50, 45.6387, -122.4796, 24.50, 46.2147, -122.5559
2024-08-18 00:39, -30.00, 46.3282, -121.7882, 29.50, 45.9892, -122.6143
2024-08-18 00:44, -30.00, 46.0108, -122.3419, 26.50, 46.2781, -122.6603
2024-08-18 00:50, -28.50, 45.5895, -122.6623, 26.00, 45.7668, -122.5284
2024-08-18 00:55, -26.00, 46.0285, -122.3284, 25.00, 45.8401, -122.2739
2024-08-18 01:00, -26.50, 46.0606, -122.1771, 25.00, 46.4794, -122.5030
2024-08-18 01:06, -26.00, 46.4980, -122.4919, 26.00, 46.0771, -122.0625
2024-08-18 01:11, -28.50, 46.2237, -121.5237, 28.50, 46.2859, -121.7465
2024-08-18 01:16, -28.50, 46.2649, -121.4705, 28.50, 46.3780, -121.9063
2024-08-18 01:22, -24.00, 45.9974, -121.5439, 24.00, 46.3019, -122.1050
2024-08-18 01:27, -26.50, 46.3080, -121.4168, 26.50, 46.2686, -121.4600
2024-08-18 01:32, -26.50, 46.3216, -121.3795, 26.50, 46.3311, -121.3538
2024-08-18 01:38, -24.00, 46.4436, -122.2707, 24.00, 46.4454, -122.2688
2024-08-18 01:43, -26.50, 46.7421, -122.1471, 27.50, 46.0039, -122.4933
2024-08-18 01:48, -26.50, 46.6454, -121.7107, 26.50, 46.4227, -121.3861
2024-08-18 01:54, -28.50, 46.7538, -122.1375, 28.50, 46.7854, -122.1820
2024-08-18 01:59, -24.00, 46.1888, -122.0920, 24.00, 46.1617, -122.1275
2024-08-18 02:04, -24.00, 46.1791, -122.0936, 24.00, 46.1845, -122.0833
2024-08-18 02:10, -24.00, 46.1604, -122.1140, 24.00, 46.2010, -122.0852
2024-08-18 02:15, -24.00, 47.1447, -121.9729, 24.00, 46.2458, -121.6861
2024-08-18 02:21, -24.00, 46.7219, -121.3017, 24.00, 47.2184, -122.1492
2024-08-18 02:26, -24.00, 46.8667, -121.7529, 24.00, 46.8550, -121.3841
2024-08-18 02:32, -26.50, 46.7925, -121.5071, 26.50, 47.1114, -121.7401
2024-08-18 02:37, -26.50, 47.1705, -122.0285, 26.50, 47.1265, -122.0141
2024-08-18 02:43, -30.00, 47.0004, -121.7554, 30.50, 46.8144, -121.4766
2024-08-18 02:48, -26.50, 47.2620, -122.1977, 26.50, 47.3541, -121.6620
2024-08-18 02:53, -29.50, 46.8224, -122.4943, 30.50, 47.4814, -122.1031
2024-08-18 02:58, -28.50, 47.0807, -121.9144, 28.50, 47.3176, -122.4806
