time, min_val, min_lat, min_lon, max_val, max_lat, max_lon
2024-08-18 01:04, -20.00, 46.9999, -124.0932, 75.50, 46.0801, -122.0677
2024-08-18 01:09, -22.50, 47.0269, -124.0798, 70.50, 46.1033, -122.1074
2024-08-18 01:15, -25.50, 47.0551, -124.1251, 69.00, 46.2431, -122.0652
2024-08-18 01:20, -29.50, 47.0839, -124.1364, 72.00, 46.3183, -121.9169
2024-08-18 01:25, -31.50, 47.1014, -124.1327, 73.50, 46.3496, -121.9552
2024-08-18 01:30, -31.50, 47.1165, -124.1380, 74.00, 46.3222, -122.2428
2024-08-18 01:35, -31.50, 47.1180, -124.1347, 73.50, 46.3931, -122.1587
2024-08-18 01:41, -31.50, 47.1026, -124.1343, 71.00, 46.3800, -122.3397
2024-08-18 01:45, -31.50, 47.0962, -124.1233, 73.50, 46.3995, -122.3532
2024-08-18 01:50, -32.00, 47.1375, -124.1152, 70.50, 46.4763, -122.3710
2024-08-18 01:55, -32.00, 47.0976, -124.1320, 70.00, 46.5202, -121.8962
2024-08-18 02:00, -32.00, 47.1380, -124.1014, 69.50, 46.5859, -121.8558
2024-08-18 02:06, -32.00, 47.0995, -124.1348, 72.00, 46.6076, -121.8896
2024-08-18 02:10, -31.50, 47.1024, -124.1297, 69.00, 46.6534, -121.8885
2024-08-18 02:15, -32.00, 47.0956, -124.1071, 64.50, 46.7481, -122.1506
2024-08-18 02:20, -32.00, 47.0956, -124.1084, 68.00, 46.7803, -121.8031
2024-08-18 02:25, -32.00, 47.1333, -124.1213, 74.00, 46.8129, -121.8196
2024-08-18 02:30, -31.50, 47.1364, -124.1196, 68.50, 46.8293, -121.8448
2024-08-18 02:35, -32.00, 47.0990, -124.1150, 67.00, 46.8992, -121.8429
2024-08-18 02:40, -32.00, 47.1334, -124.1268, 65.00, 46.9132, -121.8531
2024-08-18 02:45, -32.00, 47.1333, -124.1212, 64.50, 46.9874, -122.6199
2024-08-18 02:50, -32.00, 47.1162, -124.1413, 69.50, 47.0416, -122.4418
2024-08-18 02:55, -32.00, 47.1337, -124.1261, 62.50, 47.4292, -123.6233
2024-08-18 03:01, -32.00, 47.1066, -124.0836, 62.00, 46.3785, -122.4661
2024-08-18 03:07, -32.00, 47.0985, -124.1122, 64.00, 47.3764, -123.5517
2024-08-18 03:13, -32.00, 47.1178, -124.1343, 62.00, 47.4814, -123.6883
2024-08-18 03:19, -32.00, 47.1069, -124.0828, 62.00, 47.4110, -123.4662
2024-08-18 03:24, -32.00, 47.1066, -124.0836, 62.50, 47.4660, -123.8900
2024-08-18 03:30, -32.00, 47.1222, -124.1330, 62.50, 47.4107, -123.4659
2024-08-18 03:35, -32.00, 47.1240, -124.1317, 66.00, 47.6499, -123.7332
2024-08-18 03:41, -32.00, 47.1031, -124.0827, 68.00, 47.6585, -123.7525
2024-08-18 03:47, -32.00, 47.1293, -124.1259, 61.00, 47.6793, -123.7656
2024-08-18 03:52, -32.00, 47.1167, -124.1347, 61.00, 47.6325, -123.3592
2024-08-18 03:58, -32.00, 47.1135, -124.1343, 65.50, 47.5116, -122.0129
2024-08-18 04:04, -32.00, 47.1160, -124.1347, 63.50, 47.5945, -122.0037
