time, min_val, min_lat, min_lon, max_val, max_lat, max_lon
2024-08-18 01:04, -27.00, 45.0129, -122.0948, 27.00, 45.1994, -122.1968
2024-08-18 01:09, -27.00, 45.0737, -122.1141, 27.00, 45.1621, -121.7039
2024-08-18 01:15, -27.00, 45.2772, -122.0264, 27.00, 45.2737, -122.0593
2024-08-18 01:20, -27.00, 45.1264, -122.1281, 27.00, 45.1615, -122.0892
2024-08-18 01:25, -30.50, 47.0716, -124.1845, 24.50, 46.9716, -123.6766
2024-08-18 01:30, -34.00, 45.3043, -122.6386, 34.00, 47.1011, -124.0725
2024-08-18 01:35, -27.00, 47.1252, -124.0535, 30.00, 47.1271, -124.0833
2024-08-18 01:41, -34.00, 47.1834, -123.9632, 34.00, 47.1493, -124.0877
2024-08-18 01:45, -34.00, 47.1448, -124.0707, 34.00, 47.1608, -124.1558
2024-08-18 01:50, -34.00, 45.3924, -123.3201, 34.00, 45.3919, -123.3900
2024-08-18 01:55, -34.00, 45.5556, -123.3915, 34.00, 45.6627, -122.2331
2024-08-18 02:00, -34.00, 45.5881, -123.4265, 34.00, 47.1381, -124.1107
2024-08-18 02:06, -31.00, 47.1566, -124.0087, 31.00, 47.1549, -124.0110
2024-08-18 02:10, -34.00, 45.6874, -123.4899, 34.00, 47.2815, -123.9738
2024-08-18 02:15, -31.00, 47.3072, -124.2304, 31.00, 47.0887, -124.1722
2024-08-18 02:20, -28.50, 46.6950, -123.4384, 28.50, 46.7080, -123.3871
2024-08-18 02:25, -34.00, 47.1446, -124.1478, 34.00, 47.1787, -123.9995
2024-08-18 02:30, -34.00, 47.1441, -124.1655, 34.00, 47.1446, -124.1141
2024-08-18 02:35, -34.00, 47.1755, -124.0481, 34.00, 47.3102, -124.2445
2024-08-18 02:40, -31.00, 46.8404, -123.6351, 29.50, 47.1019, -124.0904
2024-08-18 02:45, -34.00, 46.8453, -123.8974, 34.00, 47.1630, -123.9950
2024-08-18 02:50, -34.00, 47.2590, -124.0498, 34.00, 47.2315, -124.1608
2024-08-18 02:55, -31.00, 46.9423, -123.3938, 32.00, 46.9283, -123.8260
2024-08-18 03:01, -33.00, 47.0940, -124.1040, 33.50, 47.0992, -124.0907
2024-08-18 03:07, -33.50, 46.9329, -123.5459, 29.50, 46.8686, -123.4427
2024-08-18 03:13, -33.50, 47.0358, -123.7319, 31.50, 47.0977, -124.0949
2024-08-18 03:19, -33.00, 46.9835, -123.7624, 31.00, 47.0804, -124.1280
2024-08-18 03:24, -34.00, 47.0512, -124.0526, 34.00, 47.1897, -124.0969
2024-08-18 03:30, -34.00, 47.1390, -124.1373, 34.00, 47.1380, -124.1475
2024-08-18 03:35, -33.50, 47.1133, -124.0802, 32.50, 47.1178, -124.0761
2024-08-18 03:41, -31.00, 47.2551, -124.0417, 31.00, 47.1775, -124.0757
2024-08-18 03:47, -33.00, 47.1422, -124.1752, 33.50, 47.1103, -124.0776
2024-08-18 03:52, -31.00, 47.0423, -124.0088, 31.00, 47.0303, -123.9989
2024-08-18 03:58, -30.50, 47.1855, -124.2782, 31.50, 47.1164, -124.0764
2024-08-18 04:04, -24.50, 47.1517, -124.1651, 27.50, 47.8271, -123.9861
2024-08-18 04:10, -32.50, 47.1189, -124.0762, 28.50, 47.1192, -124.0725
2024-08-18 04:16, -24.50, 47.1832, -124.1012, 33.00, 47.2169, -124.0714
2024-08-18 04:22, -33.00, 47.1777, -123.9901, 33.50, 47.1833, -124.0370
2024-08-18 04:29, -30.00, 47.1948, -124.0834, 27.00, 47.2370, -124.8020
2024-08-18 04:35, -34.00, 47.0099, -124.1919, 33.00, 47.0479, -124.2098
2024-08-18 04:41, -24.50, 47.2357, -124.1629, 29.50, 47.1658, -124.6678
2024-08-18 04:47, -33.50, 47.2092, -124.0559, 33.50, 47.2071, -124.0011
2024-08-18 04:53, -30.50, 47.1849, -124.0988, 31.50, 47.1016, -124.0875
2024-08-18 04:59, -31.00, 47.1010, -124.0738, 27.50, 47.3941, -124.7057
2024-08-18 05:05, -26.50, 47.1189, -124.0762, 33.00, 47.1153, -124.0761
2024-08-18 05:11, -31.00, 47.0998, -124.0893, 32.50, 47.1018, -124.0856
2024-08-18 05:17, -33.50, 47.1015, -124.1267, 28.50, 47.3767, -124.8842
2024-08-18 05:23, -26.50, 47.0342, -123.5677, 32.50, 47.3913, -123.9219
2024-08-18 05:29, -33.00, 47.0980, -124.0940, 32.50, 47.1275, -124.0803
2024-08-18 05:35, -29.50, 47.1269, -124.1784, 28.50, 47.1264, -124.0010
2024-08-18 05:42, -33.50, 47.1408, -124.0757, 33.50, 47.1424, -124.0735
2024-08-18 05:48, -25.50, 47.0218, -123.6091, 27.00, 47.2177, -123.9555
2024-08-18 05:54, -33.50, 47.0987, -124.1012, 34.00, 47.1353, -124.1088
2024-08-18 06:00, -27.50, 47.1218, -124.0766, 30.50, 47.1378, -124.2103
2024-08-18 06:05, -28.50, 47.0986, -124.0997, 30.50, 47.1950, -123.9672
2024-08-18 06:11, -27.00, 47.1508, -123.4372, 28.50, 47.2805, -124.0260
2024-08-18 06:16, -28.50, 47.1242, -124.0810, 24.50, 47.2611, -124.2187
2024-08-18 06:22, -28.50, 46.9515, -123.3021, 25.50, 47.0993, -124.9315
2024-08-18 06:27, -28.00, 47.1336, -124.1199, 28.00, 47.0629, -124.8916
2024-08-18 06:32, -24.50, 47.5694, -123.7690, 24.50, 47.1793, -124.1560
2024-08-18 06:37, -24.50, 47.1326, -124.1524, 24.50, 47.0790, -124.1317
2024-08-18 06:42, -24.50, 47.0793, -123.3176, 24.50, 47.1384, -124.0505
2024-08-18 06:47, -24.50, 47.7600, -124.1617, 24.50, 47.1778, -124.0772
2024-08-18 06:52, -27.00, 47.1034, -124.0869, 27.00, 47.2407, -124.0088
2024-08-18 06:57, -27.00, 47.0999, -124.0262, 27.00, 47.3427, -123.8801
