time, min_val, min_lat, min_lon, max_val, max_lat, max_lon
2024-08-17 22:03, -5.00, 44.9764, -122.4398, 59.50, 44.5010, -122.0521
2024-08-17 22:08, -5.00, 44.9958, -122.4852, 61.50, 44.5465, -122.0663
2024-08-17 22:13, -5.00, 44.9695, -122.4231, 61.00, 44.6928, -122.1773
2024-08-17 22:18, -4.50, 44.9895, -122.4808, 62.00, 44.5837, -122.0956
2024-08-17 22:23, -4.50, 44.9891, -122.3906, 65.00, 44.6663, -122.0317
2024-08-17 22:28, -4.50, 44.9935, -122.4838, 70.50, 44.6728, -122.0261
2024-08-17 22:33, -5.00, 44.9913, -122.4611, 69.50, 44.6918, -122.0237
2024-08-17 22:38, -4.50, 44.9925, -122.4944, 72.00, 44.7441, -122.0382
2024-08-17 22:43, -4.00, 44.9972, -122.4874, 70.50, 44.7935, -122.0663
2024-08-17 22:47, -4.00, 44.9872, -122.4301, 71.50, 44.8113, -122.0846
2024-08-17 22:52, -4.50, 44.9867, -122.4525, 72.00, 44.9043, -122.0653
2024-08-17 22:57, -3.00, 44.9962, -121.9103, 69.50, 44.9431, -122.0625
2024-08-17 23:02, -4.00, 44.9806, -122.4705, 70.50, 44.9831, -122.0308
2024-08-17 23:07, -4.00, 44.9950, -122.4799, 67.50, 44.9962, -122.0768
2024-08-17 23:13, -4.00, 44.9987, -122.3930, 67.00, 44.5885, -121.9107
2024-08-17 23:18, -4.00, 44.9887, -122.4540, 70.00, 44.6049, -121.9275
